File	Time	Result	Ackermann	Solver
/3/foobar.txt.6	0m0,061s	unsat	Yes	mathSAT
/3/foobar.txt.6	0m0,061s	unsat	No	mathSAT

/3/foobar.txt.7	0m0,093s	unsat	Yes	Z3
/3/foobar.txt.7	0m0,084s	unsat	No	Z3
/3/foobar.txt.7	0m0,259s	unsat	Yes	cvc5
/3/foobar.txt.7	0m0,258s	unsat	No	cvc5
/3/foobar.txt.7	0m0,124s	unsat	Yes	mathSAT
/3/foobar.txt.7	0m0,123s	unsat	No	mathSAT

/3/foobar.txt.8	0m0,242s	unsat	Yes	Z3
/3/foobar.txt.8	0m0,230s	unsat	No	Z3
/3/foobar.txt.8	0m0,718s	unsat	Yes	cvc5
/3/foobar.txt.8	0m0,711s	unsat	No	cvc5
/3/foobar.txt.8	0m0,415s	unsat	Yes	mathSAT
/3/foobar.txt.8	0m0,421s	unsat	No	mathSAT

/3/foobar.txt.9	0m0,536s	unsat	Yes	Z3
/3/foobar.txt.9	0m0,525s	unsat	No	Z3
/3/foobar.txt.9	0m4,618s	unsat	Yes	cvc5
/3/foobar.txt.9	0m4,647s	unsat	No	cvc5
/3/foobar.txt.9	0m0,963s	unsat	Yes	mathSAT
/3/foobar.txt.9	0m0,993s	unsat	No	mathSAT

/4/foobar.txt.0	0m0,038s	unsat	Yes	Z3
/4/foobar.txt.0	0m0,019s	unsat	No	Z3
/4/foobar.txt.0	0m0,006s	unsat	Yes	cvc5
/4/foobar.txt.0	0m0,007s	unsat	No	cvc5
/4/foobar.txt.0	0m0,006s	unsat	Yes	mathSAT
/4/foobar.txt.0	0m0,006s	unsat	No	mathSAT

/4/foobar.txt.1	0m0,047s	unsat	Yes	Z3
/4/foobar.txt.1	0m0,023s	unsat	No	Z3
/4/foobar.txt.1	0m0,019s	unsat	Yes	cvc5
/4/foobar.txt.1	0m0,015s	unsat	No	cvc5
/4/foobar.txt.1	0m0,009s	unsat	Yes	mathSAT
/4/foobar.txt.1	0m0,009s	unsat	No	mathSAT

/4/foobar.txt.10	0m1,080s	unsat	Yes	Z3
/4/foobar.txt.10	0m1,042s	unsat	No	Z3
/4/foobar.txt.10	0m18,676s	unsat	Yes	cvc5
/4/foobar.txt.10	0m18,571s	unsat	No	cvc5
/4/foobar.txt.10	0m1,495s	unsat	Yes	mathSAT
/4/foobar.txt.10	0m1,488s	unsat	No	mathSAT

/4/foobar.txt.11	0m1,348s	unsat	Yes	Z3
/4/foobar.txt.11	0m1,184s	unsat	No	Z3
/4/foobar.txt.11	0m16,657s	unsat	Yes	cvc5
/4/foobar.txt.11	0m16,662s	unsat	No	cvc5
/4/foobar.txt.11	0m8,927s	unsat	Yes	mathSAT
/4/foobar.txt.11	0m8,923s	unsat	No	mathSAT

/4/foobar.txt.12	0m2,836s	unsat	Yes	Z3
/4/foobar.txt.12	0m2,648s	unsat	No	Z3
/4/foobar.txt.12	0m33,000s	unsat	Yes	cvc5
/4/foobar.txt.12	0m33,428s	unsat	No	cvc5
/4/foobar.txt.12	0m20,816s	unsat	Yes	mathSAT
/4/foobar.txt.12	0m20,851s	unsat	No	mathSAT

/4/foobar.txt.13	0m32,968s	unsat	Yes	Z3
/4/foobar.txt.13	0m32,718s	unsat	No	Z3
/4/foobar.txt.13	1m39,781s	unsat	Yes	cvc5
/4/foobar.txt.13	1m40,866s	unsat	No	cvc5
/4/foobar.txt.13	0m55,217s	unsat	Yes	mathSAT
/4/foobar.txt.13	0m55,235s	unsat	No	mathSAT

/4/foobar.txt.14	0m40,708s	unsat	Yes	Z3
/4/foobar.txt.14	0m41,515s	unsat	No	Z3
/4/foobar.txt.14	4m44,854s	unsat	Yes	cvc5
/4/foobar.txt.14	4m44,392s	unsat	No	cvc5
/4/foobar.txt.14	3m12,817s	unsat	Yes	mathSAT
/4/foobar.txt.14	3m16,838s	unsat	No	mathSAT

/4/foobar.txt.2	0m0,183s	unsat	Yes	Z3
/4/foobar.txt.2	0m0,021s	unsat	No	Z3
/4/foobar.txt.2	0m0,022s	unsat	Yes	cvc5
/4/foobar.txt.2	0m0,022s	unsat	No	cvc5
/4/foobar.txt.2	0m0,011s	unsat	Yes	mathSAT
/4/foobar.txt.2	0m0,011s	unsat	No	mathSAT

/4/foobar.txt.3	0m0,048s	unsat	Yes	Z3
