File	Time	Result	Ackermann	Solver
/2/foobar.txt.15	0m0,205s	sat	No	mathSAT

/2/foobar.txt.2	0m0,180s	unsat	Yes	Z3
/2/foobar.txt.2	0m0,016s	unsat	No	Z3
/2/foobar.txt.2	0m0,011s	unsat	Yes	cvc5
/2/foobar.txt.2	0m0,013s	unsat	No	cvc5
/2/foobar.txt.2	0m0,007s	unsat	Yes	mathSAT
/2/foobar.txt.2	0m0,012s	unsat	No	mathSAT

/2/foobar.txt.3	0m0,044s	unsat	Yes	Z3
/2/foobar.txt.3	0m0,018s	unsat	No	Z3
/2/foobar.txt.3	0m0,014s	unsat	Yes	cvc5
/2/foobar.txt.3	0m0,018s	unsat	No	cvc5
/2/foobar.txt.3	0m0,010s	unsat	Yes	mathSAT
/2/foobar.txt.3	0m0,007s	unsat	No	mathSAT

/2/foobar.txt.4	0m0,045s	unsat	Yes	Z3
/2/foobar.txt.4	0m0,022s	unsat	No	Z3
/2/foobar.txt.4	0m0,022s	unsat	Yes	cvc5
/2/foobar.txt.4	0m0,021s	unsat	No	cvc5
/2/foobar.txt.4	0m0,010s	unsat	Yes	mathSAT
/2/foobar.txt.4	0m0,011s	unsat	No	mathSAT

/2/foobar.txt.5	0m0,045s	unsat	Yes	Z3
/2/foobar.txt.5	0m0,022s	unsat	No	Z3
/2/foobar.txt.5	0m0,030s	unsat	Yes	cvc5
/2/foobar.txt.5	0m0,029s	unsat	No	cvc5
/2/foobar.txt.5	0m0,014s	unsat	Yes	mathSAT
/2/foobar.txt.5	0m0,016s	unsat	No	mathSAT

/2/foobar.txt.6	0m0,049s	unsat	Yes	Z3
/2/foobar.txt.6	0m0,029s	unsat	No	Z3
/2/foobar.txt.6	0m0,046s	unsat	Yes	cvc5
/2/foobar.txt.6	0m0,047s	unsat	No	cvc5
/2/foobar.txt.6	0m0,018s	unsat	Yes	mathSAT
/2/foobar.txt.6	0m0,018s	unsat	No	mathSAT

/2/foobar.txt.7	0m0,059s	unsat	Yes	Z3
/2/foobar.txt.7	0m0,029s	unsat	No	Z3
/2/foobar.txt.7	0m0,064s	unsat	Yes	cvc5
/2/foobar.txt.7	0m0,064s	unsat	No	cvc5
/2/foobar.txt.7	0m0,030s	unsat	Yes	mathSAT
/2/foobar.txt.7	0m0,030s	unsat	No	mathSAT

/2/foobar.txt.8	0m0,045s	unsat	Yes	Z3
/2/foobar.txt.8	0m0,037s	unsat	No	Z3
/2/foobar.txt.8	0m0,097s	unsat	Yes	cvc5
/2/foobar.txt.8	0m0,095s	unsat	No	cvc5
/2/foobar.txt.8	0m0,033s	unsat	Yes	mathSAT
/2/foobar.txt.8	0m0,033s	unsat	No	mathSAT

/2/foobar.txt.9	0m0,068s	unsat	Yes	Z3
/2/foobar.txt.9	0m0,042s	unsat	No	Z3
/2/foobar.txt.9	0m0,135s	unsat	Yes	cvc5
/2/foobar.txt.9	0m0,128s	unsat	No	cvc5
/2/foobar.txt.9	0m0,053s	unsat	Yes	mathSAT
/2/foobar.txt.9	0m0,053s	unsat	No	mathSAT

/3/foobar.txt.0	0m0,022s	unsat	Yes	Z3
/3/foobar.txt.0	0m0,014s	unsat	No	Z3
/3/foobar.txt.0	0m0,005s	unsat	Yes	cvc5
/3/foobar.txt.0	0m0,005s	unsat	No	cvc5
/3/foobar.txt.0	0m0,006s	unsat	Yes	mathSAT
/3/foobar.txt.0	0m0,009s	unsat	No	mathSAT

/3/foobar.txt.1	0m0,038s	unsat	Yes	Z3
/3/foobar.txt.1	0m0,022s	unsat	No	Z3
/3/foobar.txt.1	0m0,009s	unsat	Yes	cvc5
/3/foobar.txt.1	0m0,013s	unsat	No	cvc5
/3/foobar.txt.1	0m0,007s	unsat	Yes	mathSAT
/3/foobar.txt.1	0m0,007s	unsat	No	mathSAT

/3/foobar.txt.10	0m0,089s	unsat	Yes	Z3
/3/foobar.txt.10	0m0,055s	unsat	No	Z3
/3/foobar.txt.10	0m0,275s	unsat	Yes	cvc5
/3/foobar.txt.10	0m0,283s	unsat	No	cvc5
/3/foobar.txt.10	0m0,103s	unsat	Yes	mathSAT
/3/foobar.txt.10	0m0,102s	unsat	No	mathSAT

/3/foobar.txt.11	0m0,088s	unsat	Yes	Z3
/3/foobar.txt.11	0m0,076s	unsat	No	Z3
/3/foobar.txt.11	0m0,745s	unsat	Yes	cvc5
/3/foobar.txt.11	0m0,743s	unsat	No	cvc5
/3/foobar.txt.11	0m0,294s	unsat	Yes	mathSAT
/3/foobar.txt.11	0m0,295s	unsat	No	mathSAT

/3/foobar.txt.12	0m0,140s	unsat	Yes	Z3
/3/foobar.txt.12	0m0,130s	unsat	No	Z3
/3/foobar.txt.12	0m0,824s	unsat	Yes	cvc5
/3/foobar.txt.12	0m0,827s	unsat	No	cvc5
/3/foobar.txt.12	0m0,679s	unsat	Yes	mathSAT
/3/foobar.txt.12	0m0,677s	unsat	No	mathSAT

/3/foobar.txt.13	0m0,398s	unsat	Yes	Z3
/3/foobar.txt.13	0m0,237s	unsat	No	Z3
/3/foobar.txt.13	0m2,322s	unsat	Yes	cvc5
/3/foobar.txt.13	0m2,324s	unsat	No	cvc5
/3/foobar.txt.13	0m0,465s	unsat	Yes	mathSAT
/3/foobar.txt.13	0m0,468s	unsat	No	mathSAT

/3/foobar.txt.14	0m0,504s	unsat	Yes	Z3
/3/foobar.txt.14	0m0,332s	unsat	No	Z3
/3/foobar.txt.14	0m2,934s	unsat	Yes	cvc5
/3/foobar.txt.14	0m2,918s	unsat	No	cvc5
/3/foobar.txt.14	0m1,039s	unsat	Yes	mathSAT
/3/foobar.txt.14	0m1,047s	unsat	No	mathSAT

