File	Result	Solver	Time	Ackermann
/3/foobar.txt.10	0m36,232s	mathSAT	unsat	No

/3/foobar.txt.2	0m0,243s	Z3	unsat	Yes
/3/foobar.txt.2	0m0,247s	Z3	unsat	No
/3/foobar.txt.2	0m0,738s	cvc5	unsat	Yes
/3/foobar.txt.2	0m0,692s	cvc5	unsat	No
/3/foobar.txt.2	0m0,193s	mathSAT	unsat	Yes
/3/foobar.txt.2	0m0,202s	mathSAT	unsat	No

/3/foobar.txt.3	0m0,410s	Z3	unsat	Yes
/3/foobar.txt.3	0m0,400s	Z3	unsat	No
/3/foobar.txt.3	0m1,185s	cvc5	unsat	Yes
/3/foobar.txt.3	0m1,262s	cvc5	unsat	No
/3/foobar.txt.3	0m0,283s	mathSAT	unsat	Yes
/3/foobar.txt.3	0m0,290s	mathSAT	unsat	No

/3/foobar.txt.4	0m0,585s	Z3	unsat	Yes
/3/foobar.txt.4	0m0,591s	Z3	unsat	No
/3/foobar.txt.4	0m2,249s	cvc5	unsat	Yes
/3/foobar.txt.4	0m2,284s	cvc5	unsat	No
/3/foobar.txt.4	0m0,645s	mathSAT	unsat	Yes
/3/foobar.txt.4	0m0,682s	mathSAT	unsat	No

/3/foobar.txt.5	0m1,123s	Z3	unsat	Yes
/3/foobar.txt.5	0m1,071s	Z3	unsat	No
/3/foobar.txt.5	0m4,337s	cvc5	unsat	Yes
/3/foobar.txt.5	0m4,253s	cvc5	unsat	No
/3/foobar.txt.5	0m1,228s	mathSAT	unsat	Yes
/3/foobar.txt.5	0m1,236s	mathSAT	unsat	No

/3/foobar.txt.6	0m1,667s	Z3	unsat	Yes
/3/foobar.txt.6	0m1,590s	Z3	unsat	No
/3/foobar.txt.6	0m18,683s	cvc5	unsat	Yes
/3/foobar.txt.6	0m18,988s	cvc5	unsat	No
/3/foobar.txt.6	0m2,609s	mathSAT	unsat	Yes
/3/foobar.txt.6	0m2,607s	mathSAT	unsat	No

/3/foobar.txt.7	0m3,071s	Z3	unsat	Yes
/3/foobar.txt.7	0m2,816s	Z3	unsat	No
/3/foobar.txt.7	0m38,388s	cvc5	unsat	Yes
/3/foobar.txt.7	0m36,870s	cvc5	unsat	No
/3/foobar.txt.7	0m4,501s	mathSAT	unsat	Yes
/3/foobar.txt.7	0m4,512s	mathSAT	unsat	No

/3/foobar.txt.8	0m4,205s	Z3	unsat	Yes
/3/foobar.txt.8	0m4,256s	Z3	unsat	No
/3/foobar.txt.8	1m29,692s	cvc5	unsat	Yes
/3/foobar.txt.8	1m30,853s	cvc5	unsat	No
/3/foobar.txt.8	0m6,714s	mathSAT	unsat	Yes
/3/foobar.txt.8	0m6,844s	mathSAT	unsat	No

/3/foobar.txt.9	0m8,700s	Z3	unsat	Yes
/3/foobar.txt.9	0m8,467s	Z3	unsat	No
/3/foobar.txt.9	2m17,851s	cvc5	unsat	Yes
/3/foobar.txt.9	2m17,523s	cvc5	unsat	No
/3/foobar.txt.9	0m14,138s	mathSAT	unsat	Yes
/3/foobar.txt.9	0m13,995s	mathSAT	unsat	No

/4/foobar.txt.0	0m0,060s	Z3	unsat	Yes
/4/foobar.txt.0	0m0,061s	Z3	unsat	No
/4/foobar.txt.0	0m0,114s	cvc5	unsat	Yes
/4/foobar.txt.0	0m0,115s	cvc5	unsat	No
/4/foobar.txt.0	0m0,103s	mathSAT	unsat	Yes
/4/foobar.txt.0	0m0,113s	mathSAT	unsat	No

/4/foobar.txt.1	0m0,096s	Z3	unsat	Yes
/4/foobar.txt.1	0m0,085s	Z3	unsat	No
/4/foobar.txt.1	0m0,135s	cvc5	unsat	Yes
/4/foobar.txt.1	0m0,135s	cvc5	unsat	No
/4/foobar.txt.1	0m0,101s	mathSAT	unsat	Yes
/4/foobar.txt.1	0m0,101s	mathSAT	unsat	No

/4/foobar.txt.10	0m53,368s	Z3	unsat	Yes
/4/foobar.txt.10	0m52,642s	Z3	unsat	No
/4/foobar.txt.10	8m19,157s	cvc5	unsat	Yes
/4/foobar.txt.10	7m54,986s	cvc5	unsat	No
/4/foobar.txt.10	0m39,070s	mathSAT	unsat	Yes
/4/foobar.txt.10	0m39,169s	mathSAT	unsat	No

/4/foobar.txt.2	0m0,248s	Z3	unsat	Yes
/4/foobar.txt.2	0m0,237s	Z3	unsat	No
/4/foobar.txt.2	0m0,725s	cvc5	unsat	Yes
/4/foobar.txt.2	0m0,701s	cvc5	unsat	No
/4/foobar.txt.2	0m0,198s	mathSAT	unsat	Yes
/4/foobar.txt.2	0m0,193s	mathSAT	unsat	No

/4/foobar.txt.3	0m0,563s	Z3	unsat	Yes
/4/foobar.txt.3	0m0,409s	Z3	unsat	No
/4/foobar.txt.3	0m1,209s	cvc5	unsat	Yes
/4/foobar.txt.3	0m1,215s	cvc5	unsat	No
/4/foobar.txt.3	0m0,283s	mathSAT	unsat	Yes
/4/foobar.txt.3	0m0,282s	mathSAT	unsat	No

/4/foobar.txt.4	0m0,618s	Z3	unsat	Yes
/4/foobar.txt.4	0m0,588s	Z3	unsat	No
/4/foobar.txt.4	0m2,464s	cvc5	unsat	Yes
/4/foobar.txt.4	0m2,365s	cvc5	unsat	No
/4/foobar.txt.4	0m0,599s	mathSAT	unsat	Yes
/4/foobar.txt.4	0m0,603s	mathSAT	unsat	No

/4/foobar.txt.5	0m1,133s	Z3	unsat	Yes
/4/foobar.txt.5	0m0,935s	Z3	unsat	No
/4/foobar.txt.5	0m4,732s	cvc5	unsat	Yes
/4/foobar.txt.5	0m4,619s	cvc5	unsat	No
/4/foobar.txt.5	0m1,607s	mathSAT	unsat	Yes
/4/foobar.txt.5	0m1,711s	mathSAT	unsat	No

/4/foobar.txt.6	0m1,657s	Z3	unsat	Yes
/4/foobar.txt.6	0m1,618s	Z3	unsat	No
/4/foobar.txt.6	0m10,955s	cvc5	unsat	Yes
/4/foobar.txt.6	0m10,880s	cvc5	unsat	No
/4/foobar.txt.6	0m2,561s	mathSAT	unsat	Yes
/4/foobar.txt.6	0m2,783s	mathSAT	unsat	No

/4/foobar.txt.7	0m2,863s	Z3	unsat	Yes
/4/foobar.txt.7	0m2,871s	Z3	unsat	No
/4/foobar.txt.7	0m15,795s	cvc5	unsat	Yes
/4/foobar.txt.7	0m15,772s	cvc5	unsat	No
/4/foobar.txt.7	0m3,738s	mathSAT	unsat	Yes
/4/foobar.txt.7	0m3,759s	mathSAT	unsat	No

/4/foobar.txt.8	0m3,873s	Z3	unsat	Yes
/4/foobar.txt.8	0m3,521s	Z3	unsat	No
/4/foobar.txt.8	0m40,602s	cvc5	unsat	Yes
/4/foobar.txt.8	0m40,604s	cvc5	unsat	No
/4/foobar.txt.8	0m7,765s	mathSAT	unsat	Yes
/4/foobar.txt.8	0m7,911s	mathSAT	unsat	No

/4/foobar.txt.9	0m9,301s	Z3	unsat	Yes
/4/foobar.txt.9	0m9,192s	Z3	unsat	No
/4/foobar.txt.9	4m13,575s	cvc5	unsat	Yes
/4/foobar.txt.9	4m29,769s	cvc5	unsat	No
/4/foobar.txt.9	0m15,824s	mathSAT	unsat	Yes
/4/foobar.txt.9	0m15,653s	mathSAT	unsat	No

/4/foobar.txt.back	0m0,060s	Z3	unsat	Yes
/4/foobar.txt.back	0m0,056s	Z3	unsat	No
/4/foobar.txt.back	0m0,116s	cvc5	unsat	Yes
/4/foobar.txt.back	0m0,115s	cvc5	unsat	No
/4/foobar.txt.back	0m0,106s	mathSAT	unsat	Yes
/4/foobar.txt.back	0m0,103s	mathSAT	unsat	No

