File	Result	Solver	Time	Ackermann
/D4/foobar.txt.2	0m0,053s	mathSAT	unsat	Yes
/D4/foobar.txt.2	0m0,053s	mathSAT	unsat	No

/D4/foobar.txt.3	0m0,100s	Z3	unsat	Yes
/D4/foobar.txt.3	0m0,095s	Z3	unsat	No
/D4/foobar.txt.3	0m0,265s	cvc5	unsat	Yes
/D4/foobar.txt.3	0m0,267s	cvc5	unsat	No
/D4/foobar.txt.3	0m0,119s	mathSAT	unsat	Yes
/D4/foobar.txt.3	0m0,119s	mathSAT	unsat	No

/D4/foobar.txt.4	0m0,157s	Z3	unsat	Yes
/D4/foobar.txt.4	0m0,150s	Z3	unsat	No
/D4/foobar.txt.4	0m0,434s	cvc5	unsat	Yes
/D4/foobar.txt.4	0m0,436s	cvc5	unsat	No
/D4/foobar.txt.4	0m0,171s	mathSAT	unsat	Yes
/D4/foobar.txt.4	0m0,173s	mathSAT	unsat	No

/D4/foobar.txt.5	0m0,260s	Z3	unsat	Yes
/D4/foobar.txt.5	0m0,258s	Z3	unsat	No
/D4/foobar.txt.5	0m0,988s	cvc5	unsat	Yes
/D4/foobar.txt.5	0m1,039s	cvc5	unsat	No
/D4/foobar.txt.5	0m0,372s	mathSAT	unsat	Yes
/D4/foobar.txt.5	0m0,409s	mathSAT	unsat	No

/D4/foobar.txt.6	0m0,335s	Z3	unsat	Yes
/D4/foobar.txt.6	0m0,329s	Z3	unsat	No
/D4/foobar.txt.6	0m2,029s	cvc5	unsat	Yes
/D4/foobar.txt.6	0m1,956s	cvc5	unsat	No
/D4/foobar.txt.6	0m0,893s	mathSAT	unsat	Yes
/D4/foobar.txt.6	0m0,931s	mathSAT	unsat	No

/D4/foobar.txt.7	0m0,728s	Z3	unsat	Yes
/D4/foobar.txt.7	0m0,682s	Z3	unsat	No
/D4/foobar.txt.7	0m2,932s	cvc5	unsat	Yes
/D4/foobar.txt.7	0m2,933s	cvc5	unsat	No
/D4/foobar.txt.7	0m0,924s	mathSAT	unsat	Yes
/D4/foobar.txt.7	0m0,887s	mathSAT	unsat	No

/D4/foobar.txt.8	0m0,962s	Z3	unsat	Yes
/D4/foobar.txt.8	0m0,943s	Z3	unsat	No
/D4/foobar.txt.8	0m6,174s	cvc5	unsat	Yes
